"Condition","Group","Organ","Query","Celltype","predicted_cell_type","match","explanation"
"All","Vasculature","UroCardiac","query","erythrocyte","Erythroblasts","Partial Match","Erythroblasts are precursor cells to erythrocytes."
"Group","Vasculature","UroCardiac","noquery","erythrocyte","Erythrocytes","Match","Both refer to mature red blood cells."
"Group","Vasculature","UroCardiac","query","erythrocyte","Erythrocytes","Match","Both refer to mature red blood cells."
"Organ","Vasculature","UroCardiac","noquery","erythrocyte","Can't Identify","No Match","The predicted cell type does not provide sufficient information for a match."
"Organ","Vasculature","UroCardiac","query","erythrocyte","Can't Identify","No Match","The predicted cell type does not provide sufficient information for a match."
"All","Vasculature","UroCardiac","noquery","nk cell","Can't Identify","No Match","The prediction does not recognize the NK cell identity."
"All","Vasculature","UroCardiac","query","nk cell","Can't Identify","No Match","The prediction does not recognize the NK cell identity."
"Group","Vasculature","UroCardiac","noquery","nk cell","Can't Identify","No Match","The prediction does not recognize the NK cell identity."
"Group","Vasculature","UroCardiac","query","nk cell","Can't Identify","No Match","The prediction does not recognize the NK cell identity."
"Organ","Vasculature","UroCardiac","noquery","nk cell","Can't Identify","No Match","The prediction does not recognize the NK cell identity."
"Organ","Vasculature","UroCardiac","query","nk cell","Can't Identify","No Match","The prediction does not recognize the NK cell identity."
"All","Vasculature","UroCardiac","noquery","plasma cell","Can't Identify","No Match","The prediction does not recognize the plasma cell identity."
"All","Vasculature","UroCardiac","query","plasma cell","Can't Identify","No Match","The prediction does not recognize the plasma cell identity."
"Group","Vasculature","UroCardiac","noquery","plasma cell","Can't Identify","No Match","The prediction does not recognize the plasma cell identity."
"Group","Vasculature","UroCardiac","query","plasma cell","Can't Identify","No Match","The prediction does not recognize the plasma cell identity."
"Organ","Vasculature","UroCardiac","noquery","plasma cell","B cell","Partial Match","Plasma cells are differentiated B cells; the prediction indicates a related type."
"Organ","Vasculature","UroCardiac","query","plasma cell","B cell","Partial Match","Plasma cells are differentiated B cells; the prediction indicates a related type."
"All","Vasculature","UroCardiac","noquery","lymphatic endothelial cells","Can't Identify","No Match","The prediction does not specify any identifiable cell type related to the annotated one."
"All","Vasculature","UroCardiac","query","lymphatic endothelial cells","Can't Identify","No Match","The prediction does not specify any identifiable cell type related to the annotated one."
"Group","Vasculature","UroCardiac","noquery","lymphatic endothelial cells","Can't Identify","No Match","The prediction does not specify any identifiable cell type related to the annotated one."
"Group","Vasculature","UroCardiac","query","lymphatic endothelial cells","Can't Identify","No Match","The prediction does not specify any identifiable cell type related to the annotated one."
"Organ","Vasculature","UroCardiac","noquery","lymphatic endothelial cells","Can't Identify","No Match","The prediction does not specify any identifiable cell type related to the annotated one."
"Organ","Vasculature","UroCardiac","query","lymphatic endothelial cells","Can't Identify","No Match","The prediction does not specify any identifiable cell type related to the annotated one."
"All","Vasculature","UroCardiac","noquery","endothelial cell","Can't Identify","No Match","The prediction does not specify any identifiable cell type related to the annotated one."
"All","Vasculature","UroCardiac","query","endothelial cell","Can't Identify","No Match","The prediction does not specify any identifiable cell type related to the annotated one."
"Group","Vasculature","UroCardiac","noquery","endothelial cell","Can't Identify","No Match","The predicted cell type indicates no identification, while the true type is known."
"Group","Vasculature","UroCardiac","query","endothelial cell","Can't Identify","No Match","The predicted cell type indicates no identification, while the true type is known."
"Organ","Vasculature","UroCardiac","noquery","endothelial cell","Can't Identify","No Match","The predicted cell type indicates no identification, while the true type is known."
"Organ","Vasculature","UroCardiac","query","endothelial cell","Can't Identify","No Match","The predicted cell type indicates no identification, while the true type is known."
"All","Bladder","UroCardiac","noquery","macrophage","Can't Identify","No Match","The predicted cell type indicates no identification, while the true type is known."
"All","Bladder","UroCardiac","query","macrophage","Can't Identify","No Match","The predicted cell type indicates no identification, while the true type is known."
"Group","Bladder","UroCardiac","noquery","macrophage","Macrophages","Match","The predicted and actual cell types both refer to macrophages."
"Group","Bladder","UroCardiac","query","macrophage","Neutrophils","No Match","Neutrophils and macrophages are distinct types of immune cells."
"Organ","Bladder","UroCardiac","noquery","macrophage","Macrophages","Match","The predicted and actual cell types both refer to macrophages."
"Organ","Bladder","UroCardiac","query","macrophage","Macrophages","Match","The predicted and actual cell types both refer to macrophages."
"All","Bladder","UroCardiac","noquery","fibroblast","Can't Identify","No Match","Prediction failed to specify the cell type."
"All","Bladder","UroCardiac","query","fibroblast","Can't Identify","No Match","Prediction failed to specify the cell type."
"Group","Bladder","UroCardiac","noquery","fibroblast","Fibroblast","Match","Predicted and actual cell types are the same."
"Group","Bladder","UroCardiac","query","fibroblast","Can't Identify","No Match","Prediction failed to specify the cell type."
"Organ","Bladder","UroCardiac","noquery","fibroblast","Chondrocyte","No Match","Fibroblasts and chondrocytes are distinct cell types."
"Organ","Bladder","UroCardiac","query","fibroblast","Chondrocyte","No Match","Fibroblasts and chondrocytes are distinct cell types."
"All","Bladder","UroCardiac","noquery","t cell","Can't Identify","No Match","Prediction failed to specify the cell type."
"All","Bladder","UroCardiac","query","t cell","Can't Identify","No Match","Prediction failed to specify the cell type."
"Group","Bladder","UroCardiac","noquery","t cell","T cells","Match","Predicted and actual cell types are the same."
"Group","Bladder","UroCardiac","query","t cell","T cells","Match","Predicted and actual cell types are the same."
"Organ","Bladder","UroCardiac","noquery","t cell","Can't Identify","No Match","Predicted cell type lacks sufficient specificity to match."
"Organ","Bladder","UroCardiac","query","t cell","Can't Identify","No Match","Predicted cell type lacks sufficient specificity to match."
"All","Bladder","UroCardiac","noquery","bladder urothelial cell","Can't Identify","No Match","Predicted cell type lacks sufficient specificity to match."
"All","Bladder","UroCardiac","query","bladder urothelial cell","Can't Identify","No Match","Predicted cell type lacks sufficient specificity to match."
"Group","Bladder","UroCardiac","noquery","bladder urothelial cell","Can't Identify","No Match","Predicted cell type lacks sufficient specificity to match."
"Group","Bladder","UroCardiac","query","bladder urothelial cell","Can't Identify","No Match","Predicted cell type lacks sufficient specificity to match."
"Organ","Bladder","UroCardiac","noquery","bladder urothelial cell","Can't Identify","No Match","Predicted cell type lacks sufficient specificity to match."
"Organ","Bladder","UroCardiac","query","bladder urothelial cell","Can't Identify","No Match","Predicted cell type lacks sufficient specificity to match."
"All","Bladder","UroCardiac","noquery","plasma cell","Can't Identify","No Match","Predicted cell type lacks sufficient specificity to match."
"All","Bladder","UroCardiac","query","plasma cell","Can't Identify","No Match","Predicted cell type lacks sufficient specificity to match."
"Group","Bladder","UroCardiac","noquery","plasma cell","Can't Identify","No Match","The prediction does not identify plasma cells."
"Group","Bladder","UroCardiac","query","plasma cell","Plasma cells","Match","Both refer to plasma cells, with minor phrasing difference."
"Organ","Bladder","UroCardiac","noquery","plasma cell","Can't Identify","No Match","The prediction does not identify plasma cells."
"Organ","Bladder","UroCardiac","query","plasma cell","Can't Identify","No Match","The prediction does not identify plasma cells."
"All","Bladder","UroCardiac","noquery","smooth muscle cell","Can't Identify","No Match","The prediction does not identify smooth muscle cells."
"All","Bladder","UroCardiac","query","smooth muscle cell","Can't Identify","No Match","The prediction does not identify smooth muscle cells."
"Group","Bladder","UroCardiac","noquery","smooth muscle cell","Can't Identify","No Match","The prediction does not identify smooth muscle cells."
"Group","Bladder","UroCardiac","query","smooth muscle cell","Can't Identify","No Match","The prediction does not identify smooth muscle cells."
"Organ","Bladder","UroCardiac","noquery","smooth muscle cell","Can't Identify","No Match","The prediction does not identify smooth muscle cells."
"Organ","Bladder","UroCardiac","query","smooth muscle cell","Can't Identify","No Match","The prediction does not identify smooth muscle cells."
